=============PAGESTART=1,PAGEEND=10
【阿肥】	a33 bui53	胖子〈谑〉▷～伯|～奶|～姐|～嫂|～弟。
【灿灿新】	cang21 jang21 ning55	崭新，新崭崭的▷～其踏车（崭新的自行车）
【抄】	cau55	①自下而上的翻动▷讨乇伓好好讨，～𠲥蜀屉糟糟乱（找东西不好好找，翻得拙屉乱七八糟的）。②兜住（跨档部）▷尿燥～𠲥了{固,故}做蜀眠床（尿布裹了胯档还弄了一床）。③形容裤裆太紧的样子▷裤颂恰～，真伓是形（裤裆兜得太紧，很不雅观）。
【抄裤】	cau53 ou213	紧身的三角裤。
【操衣】	cau55 i55	学生制服〈旧〉。
【操堭】	cau55 liang53	操场。
【吵扰】	cau24	打扰，搅▷我{𫧃,儥}爱去～别人（我不想去打扰别人）。
【草】	cau33	①青草。②稻草。
【草鞋】	cau21 e53	①耍小聪明，耍滑头▷只隻侬真～，共伊着蜀堆着细腻（这个人滑头，和他在一起得小心）。②好色，作风不正派▷者侬真～，看见诸侬囝就皮东碰（这人不正派看见女孩子就碰来碰去的）。
【草鞋囝】	cau24 e33 iang33	有小聪明但又滑头、不正经、不正派的人。
【草柴】	cau21lja53	柴火，多指烧火用的干草。
【草荐】	cau55 jaing213	稻草编的床垫。
【草笠】	cau21 lik5	草帽。
【草鑢】	cau55 loo213	用来刷洗锅盆的稻草团。
【草蜢】	cau24 (cang24) mang33	蚂蚱。
【臭】	cau24	①气味不好闻的，跟“香”相反。②加在各词前构成形容词性的短语，形容某种异味▷～汗|～臊|～油|野～骹缝（有股强烈的臭脚味儿）。③形容待人不友善、不客气的面容▷只隻侬面野～，逢侬都伓爱共伊讲话（这个人待人很冷淡，谁都不和他说话）。
【臭甲】	cau53 ak24	脚趾头或手指头上的灰甲。
【臭生】	cau55 cang55	形容未煮熟的蔬菜或未成熟的瓜果所具有的生涩味▷只碗菜无炒熟，食喙𠲥{固,故}真～（这碗菜没炒熟，吃在嘴里还有一股生涩味儿）。
【臭臊】	cau55 co55	形容鱼腥气味▷乍㓣完鱼，蜀手真～（刚收拾过鱼，手上腥味儿很大）。
【臭着】	cau55 duok5	形容焦味，烧糊的气味。
【臭挹】	cau53 eik24	形容腌的蔬菜坏了发出的臭味。
【臭阴】	cau53 eing213	形容狐臭味。
【臭汗】	cau53 gang242	形容汗臭味▷蜀身{只,这}{般,满}～，{固,故}{𫧃,儥}舍去洗汤（混身的汗臭还不快去洗澡）。
【臭薰】	cau55 houng55	形容烟草味▷房裡野～，慊门囝快开起去通囇（房间里都是烟味，快打开窗子通通风）。
【臭火烟】	cau21 hui21 (hu21) ing55	形容烟火薰过的臭味▷总讲{只,这}{般,满}～，有无{底呢,底所}着去（怎么烟火味儿这么大，是不是什么地方着火了）?
【臭胰皂】	cau53 i21 joo242	①药皂。②形容身上或衣物上残留的肥皂气味▷衣裳无过澈，{固,故}真～（衣服没漂洗干净，还有一股肥皂味儿）。
【臭油】	cau55 iu53	形容菜肴中来烧熟的油的异味。
【臭（油）垢】	cau21 (jau53) gau33	形容人体皮脂腺分泌物的气味▷者头发两目无洗就～（这头发两天不洗就有油垢味儿）。
【臭（油）面】	cau21 (jau53) meing213	①形容待人极为冷淡、鲜有笑答的面孔。②不高兴的脸色。
【臭水卵】	cau21 jui55 loung242	形容食物浸泡在水里的时间久了而产生的异味▷豆芽菜洗完者漉起去，漫水𠲥会～（豆芽菜洗完要捞出来，泡在水里久了会产生异味）。
【臭骹缝】	cau21 ka53 poung213	①臭脚丫②形容臭脚丫发出的异味。
【臭焦】	cau55 liu55	焦、糊▷饭煮～去（饭烧糊了）。
【臭烧巴】	cau21 liu55 wa55	焦，糊，烧焦▷今旦者饭～其，野伓好食（今天的饭烧糊了，真难吃）。也说“臭焦巴”cau21jiu44wa44。
【臭硬】	cau53 ngaing242	坚强，顽强▷者侬真～，病遘{总款,这样款}去了{固,故}𠲥泥（这个人很顽强，病成这个样还在拖着干）。
【臭薟薟】	cau21 ngiang55 ngiang55	臭哄哄，形容强烈刺鼻的臭味。
【臭五行】	cau21 ngu55 haing242	极臭。也说[臭五蒂]cau21ngu44lei213。
=============PAGESTART=41,PAGEEND=50
【臭尿薟】	cau21 niu55 hiang55	形容尿臊味。也说“臭尿哈”cau21liu44ha44。
【臭殕】	cau3pu31	①形容霉臭味。②发霉发臭▷茶箬～去了（茶叶发霉了）
【臭屎】	cau53 sai33	①形容粪便的臭味。②喻指事物质地差劲，拙劣▷只隻运动员～其，{总款,这样款}球都踢{𫧃,儥}裡（这个运动员太差劲，这样的球都踢不进）。
【臭西】	cau53 se55	形容食物腐败变质后产生辛辣异味▷秫米{𫷾,撄}𣆯去，食𠲥真～（糯米搁久变质了，吃起来有强烈异味）。
【臭宿】	cau53seoyk23	形容东西后得时间长了产生的发霉的气味▷衣裳乍趁箱箱𠲥掏出来，有仂囝～（衣服刚从箱子里取出来，有点儿霉味儿）。
【臭酸】	cau55 soung55	①形容酸臭味儿▷头发都～去了，{固,故}{𫧃,儥}捨去洗囇（头发都快臭了还不快去洗一洗）。②食物变质而酸臭▷肉无熥，～去了（肉没重煮过，变质了）。
【臭馊】	cau55 teu55	形容馊味儿▷只碗粥是昨暝煮其，已经～去了（这碗粥是昨天煮的，已经馊了）。
【臭涂】	cau55 tu53	形容鱼或其他食物中的土腥味儿▷池{俪,㑚}其鱼都有仂囝～（池里的鱼吃起来都有点土腥味儿）。
【臭花心】	cau21 ua55 ling55	形容得病的红薯中▷发臭的异味。
【臭瘟】	cau55 ung55	形容腌菜不新鲜的气味。
【臭丸】	cau55 uong53	衣物防蛀用的卫生球儿。
【臭蔫】	cau55 yong55	形容强烈刺鼻的腐败气味▷者鱼～去（这鱼臭了）。
【臭脂】	cau55 zie55	食油或含油脂的食物变质的味道▷猪油{𫷾,撄}𣆯去，会臭脂（猪油放久了会变质，发出臭油脂味）。
【凑骹】	cau55 ka55	凑足四人（打牌）▷今旦三缺一，汝一定着来～（今天打牌还短一个人，你一定得来凑齐）。
【凑剋】	cau53 kaik24	往人多的地方凑，使之显得更拥挤▷今旦蜀街侬真偭，我伓去～（今天街上人很多，我不去凑热闹）。
【撮】	coouk24	（用手指头）揪▷伊着痧了，脰𦜩～囇（他中暑了，在脖子上揪几下）。
【凄惨】	ce53 cang33	①凄凉悲惨②感叹词，表示惊叹▷～!只隻侬{汉码,汉马}乍悬（天哪，这个人的个子这么高）!
【凄凉凄惨】	ce44luong53ce33cang31	①很凄惨。②夸张地形容坏的程度▷者侬呆遘～去（这人坏得不得了）。
【饲】	cei213	①（给人）喂食▷～饭（喂饭）|～𬂌（喂奶）。②给动物吃食▷～鸡|～猪。
【市覆】	cei242 pouk24	掷钱币占卜，钱币落地正面向上称为“市”，反面向上称“覆”。
【㲺】	ceik24	从小孔中啧出水▷水管破去，水～野悬（水管破了，水喷得很高）。
【拭】	ceik24	拭擦▷桌未～澈（桌子还没擦干净）|鼻快～去（快把鼻涕擦掉）。
【贼帮贼侣】	ceik5buong44ceik3lly31	盗贼的团伙。
【贼囝】	ceik24 giang33	小偷。
【贼食鸦片睏】	ceik5 siek5 a21 wieng53 kooung213	夸张地形容某人食量大又好睡懒觉〈谑〉。
【贼做】	ceik24 zoo213	凶狠贪婪的行为▷称蜀斤会短两两半，正～其（称一斤短了二两半，▷真黑）。
【呻】	ceing55	呻吟▷昨瞑晡腹佬疼，蜀晡～遘天光（昨晚肚子疼，一夜呻吟到天亮）。
【田】	ceing53	①田地。②专指水田。
【田隙】	ceng21kiak23	田埂上通水的缺口。
【田堘】	ceing44nging53	田埂。
【蚕茧】	ceing21 ngeing24	蚕，蚕宝宝▷～未吐丝（蚕还未吐丝）。
【蚕茧籽】	ceing21 ngeing24 ji33	①桑椹也说[桑菜籽]。②蚕的卵。
【蚕茧树】	ceing21 ngeing55 jiu213	桑树。
【蚕茧箬】	ceing21 ngeing21 nuok5	桑叶。
【筅】	ceing33	①用竹枝或竹丝扎成的刷洗、清扫用具▷鼎～（炊帚）|房桶～（刷洗马桶的用具），也说[筅筅]ceing33ceing31②（使用炊帚、筅帚等）刷洗、清扫▷埕{固,故}未～澈（场地还没清扫干净）。
【筅帚】	ceing24 jiu33	用细竹枝扎成的扫帚。
【筅把】	ceing24 ma33	用细竹片编成的长柄刷子，用以清洗地板等。
【筅堂】	ceing21 noung53	用缚于长竿上的扫帚拂扫房屋内高处和四壁的积尘。地方风俗，年终各家各户都要做一次这样的大扫除。
【骋】	ceing33	①冲，快速运行〈贬〉▷骑骹踏车～来～去（快速而激烈地挟菜进食动作〈贬〉▷伊野伓是生相，着酒桌𠲥大～（他太不像话，在酒席上抢着吃）。
【凊】	ceing213	冷，寒冷▷正月最～（正月最冷）。
【糙白】	ceo55 wak5	未经提炼的白糖。
【𠿝】	ceo53	呵斥▷我{𫧃,儥}惊伊，伊～过来，我也～过去（我不怕他，他呵斥我，我也呵斥他）。
【⿱艹初推】	ceo55 leoy55	削瓜果皮的小刨子。
【⿱艹初瓤】	ceo55 loung53	①丝瓜的瓤儿。②晒干了的丝瓜瓤，用作擦洗锅碗盆瓢的用具。
【⿱艹初棚】	ceo55 wang53	为种植丝瓜搭起的棚架。
【觑】	ceoy214	①看，瞧▷～{什乇,世乇}（看什么）|～看看有侬无（看看有没有人）。②照看▷伲囝无侬～，{𫧃,儥}安▷（孩子没人看，不放▷）。③看望▷听讲汝无能耐，特直来～汝（沂说您身体欠安，特意来看望您）。④诊治▷着去讨先生～囇（要去请医生瞧瞧）。
【碎工】	ceoy55 eoyng55	①零碎的时间。②零工，短工▷先讨仂囝～做做囇（先找点儿零活几干干）。
【碎钱】	ceoy55 jieng53	零钱。
【碎钱囝】	ceoy55 jieng53 ngiang33	①零钱。②数量微不足道的钱▷～使仂囝，做𠲥大家齐欢喜（花点儿小钱，使大伙儿都高兴）。
【碎屐】	ceoy55 kiak5	闲聊。
【碎使】	ceoy55 lai33	零用，零花（钱）▷者钱汝留着～（这钱您留着零花）。
【碎食】	ceoy55 liek5	①零食。②吃零食。
【碎乇】	ceoy53 nooh24	零碎的东西▷蜀屉～野価（抽屉里有很多零零碎碎的杂物）。②零食▷爱食～（爱吃零食）|先食仂囝～，等囇介食饭（先吃点儿零食，待会儿再吃饭）。
【碎讲】	ceoy53 oung33	闲聊。
【碎讲碎听】	ceoy21oung21jeoy53liang213	①闲聊▷没乇做{辰候,前后}大家圆𠲥～（没事儿干的时候大伙儿凑在一块儿闲聊）。②风言风语，闲言碎语，议论他人是非的闲话▷自家无做呆事就伓惊别人～（自己没做过坏事就不怕别人说闲话）。
【蹙】	ceoyk24	厌恶，恨▷我真～侬食薰（我讨厌别人抽烟）|我第一～只隻侬（我最恨这个人）。
【龊】	ceoyk24	附着在物体表面的污垢或其他污秽的积淀物▷粪～|尿～|面盆敆～去（脸盆结上污垢了）。
【凿凿】	ceoy33 ceoyk5	凿子。
【葱珠】	ceoyng55 juo55	葱花儿。
【葱包】	ceoyng55 mau55	花卷儿。
【铳】	ceoyng213	一种旧式火器▷拍～（打枪）|放～（放枪）。
【𥬱】	ceoyng213	连接，接续▷竹𥮕蜀条无够长，掏两条～起去（竹竿一根不够长，把两根连接起来）|“藕～蔗𠲥”〈俗〉（把藕连接在甘蔗上。喻指将两类不同事物混为一谈）。
【撕】	ci55	撕扯，扯，揪▷头发都～遏去（头发都撕扯掉了）|巴领乞伊～橂橂势（把他的领口揪得紧紧的）。
【鳍】	ci55	魚鳍。也说“鳍鳍”ci44ci44
【鳃】	ci55	鱼鳃。也说“鳃鳃”ci44ci44
【试味】	ci53 ei242	尝试食物的味道。
【试鼎】	ci53 liang33	①做菜时从锅中舀出一点尝口味。②本地风俗新娘子婚后第三天要下厨做饭菜，向公婆显示其烹调技术水平。
【七步犬】	cik21 buo53 weing33	一种毒蛇，据说人若被咬伤，走七步就会中毒而死。
【七寸】	cik5 cooung213	猪蹄，从爪尖往上的七寸长的部位切下的猪脚。
【七处】	cik5 ceoy213	到处，四处▷～讨都无块讨（到处找都找不到）|～暗摸摸，去{底呢,底所}讨（到处黑洞洞，到哪儿去找）。
【七讲八听】	cik21 goung21 meik5 tiang213	①海阔天空的闲聊▷开会伓好好开，都是～（开会不好好开，都是海阔开空地闲聊）②闲言碎语，风言风语▷汝做自家其事计，莫去听伊～（你只管做自己的事，别去听他的闲言碎语。）③胡扯，胡说八道胡诌▷{𫧃,儥}师假师，全～（不懂装懂，全是胡扯）。也说七讲八十二听”cik23goung31bek21leik21ni53liang213或“七讲八十三听”cik23goung31bek21leik21sang53niang213
【七古八怪】	cik2gu21weik5guai213	古里古怪，稀奇古怪▷者侬蜀腹佬～其事计野価（这人肚子里稀其古怪的事装得不少）。
【七胡八喝】	cik2hu21weik5hak23	胡说八道▷伊都是～，伓嗵去听伊（他总是胡说八道，别去听他的）。
【七成八败】	cik21 siang53 beik5 bai242	本地俗称早产儿中怀胎七个月生的成活率大，八个月生的不容易养活。也说[七成八败，九成人]cik21siang53beik5bai242gau24liang31ing53。
【七······八······】	cik24 beik5	插入相同的动词，走走西走走）|行侬厝𠲥伓嗵七觑八觑（到别人家里不要东张西望）|“七溜八溜，无拆福州”〈谚〉（走到东，走到西，任何地方都比不上福州）。也说[七······八十二······][七······八十三······]。
【七······八十二······】	cik23bek2leik21ni53	同[七······八······]
【七······八十三······】	cik23bek2leik21sang53	同[七······八······]
【车】	cia55	①车，车辆。②缝纫机。也说[针车]zeing44jia44或[车车]ci31cia44。③转动，转▷面～过来（脸转过来）也说“车车”cia44lia44|蒋讲轮轮{𫧃,儥}～去（怎么轮子不转了）？④（用缝纫机）轧▷裤边{固,故}着～蜀行（裤腿边上还要再轧一道）。⑤（用机械）抽（水）▷水～上来了（水抽上来了）。
【车囝】	cia3iang31	人力车，黄包车。
【车债】	cia53 jai213	车费。
【车籽】	cia53 ji33	用旧式木工车床加工的圆形木器零件。
【车籽店】	cia21 jia53 laing213	用旧式木工车床为人加工木器零件的小店
【车车转】	cia21 jia53 luong33	转来转去，不停地转动▷上堂目睭着觑先生，面莫～（上课时眼睛要看着老师，别把脸转来转去）。也说[车车动]cia21jia53loyng242
【车头水】	cia53 lau33 jui33	一种廉价的毛笔。
【车顶】	cia53 ling33	车上，车厢里▷门口真剋，其实～元几隻侬（门口拥挤.其实车上没几个人）。
【车船】	cia44lung52	小火轮。
【车轮车】	cia55 lung55 jia55	①小型风车。②一种纸糊的小风车，儿童玩具。
【车馆】	cia53 uang33	旧时出租、出售人力车的车行。
【𢲶】	cia242	斜，歪▷线画～去（线画斜了）|帽～𠲥戴（帽子歪戴着）|～转弯（斜转弯）。也说[𢲶𢲶]cia53cia242，[加拉𢲶]ga21ak5cia242。
【擦】	ciak24	①搓洗▷面布敆膏去，着掏汤～（毛巾脏了，要用热水搓洗）。②（将萝卜、红薯等放在带孔的铁板上）蹭，使之成细条状▷～番薯米（磋地瓜丝）。③发抖，哆嗦▷野凊，骹手直头～（很冷，手脚直发抖）。
【插】	ciak24	①搀扶;两人从腋下把人架着▷病人骹无力，着～𠲥慢慢行（病人脚没力气，得搀着慢慢走）。②理睬▷汝无～别侬事（你别管别人家的事儿）。
【躤】	ciak5	①踩，践踏骹～{𫧃,儥}稳（脚踩不稳）②压制打击（他人）。
【成】	ciang53	成全，把事情做完使完成▷今晡介～囇，就完了（今晚再加把力，就结束了）|汝会做偌夥就做偌夥，最尾我共汝～（你能干多少就干多少，最后我来帮你做完）。
【成命】	ciang21 miang242	催命;喻指把已处于困境中的人往绝路上逼▷我已经野喫亏去了，汝{固,故}来～（我已经够受罪了，你还来雪上加霜）。
【请斋】	ciang21 je55	请家庭教师。
【请春酒】	ciang21 cung53 jiu33	正月初宴客贺新春。
【请酒】	ciang24 jiu33	办酒席宴请（宾客）。
【请回门】	ciang24nguimuong53	旧俗嫁女儿的次日遣新娘的兄弟登门请新郎新娘回娘家，并置酒席宴请。
【请先生】	ciang21 sing55 nang55	请医生上门来诊病。
【倩】	ciang213	雇用▷～奶妈|～几隻侬来对手（雇几个人来帮忙）。
【鳝】	ciang242	鳝鱼。
【伬唱】	cie53 juong213	一种福州地方曲艺形式;艺人着戏装在小舞台上演唱，有乐队伴奏。即闽剧清唱或简易的闽剧表演。
【迻】	cie53	缓慢地移动▷日头～过伪囝（太阳影子移过来一点儿）|无侬护伊，伊自家慢慢～转来（没人扶他，他自已慢慢地挨回来）。
【刺刺】	cie21 cie213	刺儿。
【刺溪】	cie55 ke55	①取笑，拿别人逗乐▷伊蜀日遘暗都是～我，我野怒伊（他整天拿我逗乐，我很讨厌他）。②使别人受骗上当▷只蜀阵码头囝野呆，都是～乡下侬（这一伙码头帮很坏，总是欺诈乡下人）。
【刺螺】	cie44leou53	田螺。
【刺欛】	cie53 wa213	荆棘。
【炽火】	cie53 huo33	中医上称某些性热、容易使人上火的食物为“炽火”▷荔枝真～，伓通多食（荔枝性热，不要多吃）。
【蠘】	ciek5	①梭子蟹。②暗娼。
【蠘抱卵】	ciek21 bo53 looung242	菜肴名，即梭子蟹炒蛋。
【蠘生】	ciek5 cang55	一种菜肴，用生的梭子蟹剁碎拌以酱油、生姜糖等佐料生食。
【蠘膏】	ciek5 go55	梭子蟹的蟹黄。
【千一】	cieng53 eik24	男女约会，数字“1，100”可按数码构成读“iu44iu44kuang44kuang53”与“邀邀环环”谐音，意为两人手臂交缠一起散步。
【千页糕】	cieng21 ngiek5 go55	千层糕。一种多层的面类甜点心。
【千里镜】	cieng21 ni55 iang213	望远镜。
【千张】	cieng55 nuong55	豆腐皮。
【签押桌】	cieng21 ngak5 dooh24	办公桌，写宇台。
【鲜】	cieng55	①（食物）新鲜▷只头鱼野～（这条鱼很新鲜）。②非盐渍的▷～鱼|～带鱼|～瓜（鲜黄鱼）③非冷藏的▷～肉。
【鲜笑】	cieng52jieu213	色彩鲜艳▷只件羊毛𬡨野～〈这件毛衣色彩很鲜艳）。
【鲜衣】	cieng55 ngi55	①指旗袍。②指戏曲中花且的服装。
【寻】	cieng213	长度单位，成年人两手左右平伸，两手指尖之间的距离为一寻。
【箭】	cieng213	①植物抽蕊的枝条▷～发恰価也好着剪仍囝去（枝条抽得太多也不好，得剪去一些）。②（量）枝▷两～花（两枝花）。
【战】	cieng213	①斗，搏斗▷我着共伊～落去（我要和他斗下去）|昨冥伊老公妈大～（昨天他夫妻俩大斗一场）。②打击▷我蜀锤共伊～过去（我一拳打过去）。③奋力干▷今旦下昼～就完了（今天下午拼命干一场就完成了）。
【清楚】	cing3ju31	①形容五官端正的面貌只隻诸娘团生野～（旅游，食{𫧃,儥}～，睏{𫧃,儥}～（到外边旅游，吃得不舒服，睡的也不舒服）。③（穿着）整洁、匀称、合身▷有其时装颂身𠲥{𫧃,儥}～（有的时装穿起来不合身，看了不舒服）。
【清气】	cing53 kei213	①清爽，清淡▷房里嫩仂囝，不过真～（房间小一些，但很清爽）|我{𫧃,儥}爱食大肉大鱼，爱食～仂囝其（我不爱吃大鱼大肉，喜欢吃清淡一点儿的）。②色彩淡雅▷只条裙真～（这条裙子色彩淡雅）。
【清明寒】	cing55 ming55 gang53	每年清明前后都有几天气温骤降，福州人称为～。
【清明粿】	cing53 ming33 ngui33	福州风俗在清明节食用的一种甜糕点，皮儿橘米粉所制，用菠菠草的汁染成浅绿色，里面用豆沙，萝卜丝作馅。
【亲嘬】	cing53 cui213	亲口（说）。
【亲戚气】	cing21 jik5 kei213	亲戚关系，多指较疏远的亲戚关系▷伊共我{固,故}有仂囝～，伊{侬奶,娘奶}是我外妈其表妹（这人和我还沾亲带故，他妈妈是我外婆的表妹）。
【亲母】	cing53 mu33	亲家母，家庭中平辈或晚辈的配偶的母亲。
【亲母闹】	cing21mu4nau242	专指亲家母之间的争吵〈谑〉。
【亲房】	cing44mung52	形容相互间关系亲密友好▷汝若{只,这}{般,满}客气就{𫧃,儥}～去（你要这么客气就显得见外了）。
【亲家】	cing55 nga55	亲家，家庭中平辈或晚翠的配偶的父亲。
【亲家妗】	cing21 nga53 eing242	姻亲称谓，男方家庭成员称呼女方兄弟的妻子。
【亲家姨】	cing2nga44i53	姻亲称谓，男方家庭成员称呼女方的姐妹。
【亲家舅】	cing21nga52eoyk242	①妻子的兄弟。②姻亲称谓，男方家庭成员称呼女方的兄弟。
【亲家叔】	cing21nga52jeoyk23	姻亲称谓，女方娘家人称呼男方的弟弟。
【亲家婶】	cing21 nga53 ling33	姻亲称谓，女方娘家人称呼男方的弟媳妇。
【亲家门头】	cing21 nga55 muong55 nau53	儿女亲家之间的亲戚关系。
【亲家姑】	cing2lnga44u44	姻亲称谓，女方娘家人称呼男方的姐妹。
【亲家伯】	cing2lnga52wak23	姻亲称谓，女方娘家人称呼男方的哥哥。
【寝寝】	cing24 jing33	刚刚▷天～光（天刚刚亮）|伊～乍行（他刚刚才走）。
【凊粥】	cing53jeouk23	隔餐的大米粥。
【凊痹】	cing53 mei213	发冷发热的病。
【凊饭】	cing53 muong242	隔餐的剩饭。
【凊天】	cing55 nieng55	冬天，冷天。
【凊汗】	cing53 ngang242	冷汗▷流～汗（盗汗）。
【秤花】	cing55 ngua55	秤星，镶在秤轩上的金属的小圆点，是计量的标志。
【秤锤】	cing55 tui53	①秤砣。②比喻带在身边的小孩子，累赘▷～嘟噜蜀粒，将将去出门（带着个小孩，怎能出门做客）?
【秋烘】	ciu53 hooyng242	指入秋后暴热。
【秋裤】	ciu53 kou213	棉毛裤。
【秋𬡨】	ciu53 loung33	棉毛衫。
【缲】	ciu55	缝纫针法之一沿着布的边缘绕缝。
【𤞚】	ciu55	①发情▷只头鸡角～去了（这只公鸡发情了）②形容情欲冲动的样子▷只头鸡角野～（这只鸡很骚）③臭美，摆出副奇货可居的样子▷汝无看伊侬{俪,㑚}生{总款,这样款}，伊{固,故}真～（你别看她人长得不怎么样，她还挺臭美呢）④（服饰）花哨▷只件衣裳恰～我者岁数{𫧃,儥}颂其（这件衣服太花哨我这年龄不能穿）。
【𤞚鸡角】	ciu21 ie53 ooyk24	①发情的公鸡。②喻指好色的男人。也说[獗鸡角]kuok21gie53oyk23
【𤞚色】	ciu53 laik24	形容花哨、鲜艳的颜色▷只块布真～（这块布料颜色很鲜艳）。
【手指】	cui24jai33	手指头。也说[手掌指]ciu21jieng24jai33。
【手指夹】	ciu21 jai21 geik5	手指间缝。
【手指尾】	ciu2jia24mui31	手指的末端。
【手节】	ciu55 jaik24	手指头上的关节。
【手指】	ciu24 ji33	戒指。
【手𩨑】	ciu24 lang55	胳膊肘儿。
【手𩨑卵】	ciu21 ang53 nooung242	肘关节的凸起部。
【手腿】	ciu24leoy31	手臂，胳膊。
【手神】	ciu211ing53	手劲，汝～野重，拍侬真疼（你手劲儿大，打人很疼）。
【手锁】	ciu24 lo33	手镣，手铐。
【手肚】	cu24 lu33	小臂的肌肉。
【手尾】	ciu24 mui33	①手头未办完（的事情）我{固,故}有仂囝～事计未做完（我手头还有一些事情未办完）。②手腕及手掌（的力量）▷伊～力真大（他手劲很大）。③遗产▷伊其～底侬得去（他的遗产谁得了）?
【手尾劲】	ciu2mui44eing213	手腕及手掌的力量▷我无～，只瓶瓶开{𫧃,儥}起（我没手劲儿，这个瓶子打不开）。
【手弯】	ciu21 uang55	手肘关节的内侧。
【手䘼】	ciu24 uong33	衣袖。
【手䘼尾】	ciu24 uong24 mui33	袖口，袖子的下端。
【手䘼头】	ciu21 uong21 nau53	袖口。
【手巾】	ciu21 yng55	毛巾。
【手巾囝】	ciu21 yng53 ngiang33	手绢儿。又说（汗巾）（汗巾囝）。
【笑面】	ciu53 meing213	带微笑的面容▷只隻诸侬囝真～，逢侬都疼伊（这个姑娘总是面带笑容，人人都喜欢她）。也说[笑笑面]。
【笑笑面】	ciu21 jiu53 meing213	同[笑面]。
【树囝】	ciu44iang	①小树。②直径小的圆木。
【树栽】	ciu55 jai55	树苗。
【树身】	ciu55 ling55	树干。
【树尾】	ciu53 mui33	树梢。
【树桠】	ciu55 nge55	树枝。
【树箬】	ciu55 nuok5	树叶。
【搓垢】	co53 gau33	敲诈勒索，打秋风，揩油▷趁仂囝钱无够伊～（赚一点儿钱还不够他勒索）。
【搓肿】	co53 jyng33	①肿涨疼痛。②落枕▷脰𦜩～（睡觉落枕，脖子疼痛，转动不便）。
=============PAGESTART=51,PAGEEND=60
【搓𬖞】	co441i53	每年冬至，家家户户用糯米粉搓汤团的习俗。
【草】	co33	①草木灰，旧时用作清洁剂，如洗衣裳，现已改用肥皂粉。②食用碱▷者粽～瘿加価（这粽子碱放得太多）。
【草头】	co33 lau53	草字头（汉字偏旁）。
【草写】	co21 lia33	①不付代价索取别人的东西▷许本书汝共伊～过来（那本书你向他要来）。②书写草书。
【草汤】	co21 loung55	放了碱的热水，用以洗涤，便于去油污。
【（⿱艹初）】	coo213	丝瓜.
【戳】	coh5	①急行▷汝伓使{总款,这样款}～，等大家齐行（你不要走得这么急，等大伙儿一块儿走）。②奔波设法▷只件事计我～野価日了{固,故}无结果（这件事我奔忙了好几天还没有结果）。
【撮药】	couk21 yok5	抓药买中药。
【噇】	coung53	吃〈贬〉▷汝伓去做，明旦都无乇～（你不去干活，明天就没得吃）。
【噇饱】	coung53 ba33	同[噇恰饱]。
【噇恰饱】	cong53kak24ba31	吃饱撑的，无事生事。也说[噇]。
【噇尾顿】	coung21 mui55 looung213	死囚临刑前吃最后一餐饭。用于骂人吃相难看〈詈〉。
【噇去死】	cong21ngo53li31	撑死你〈詈〉。
【撙】	coung242	①拧面布▷～{𫧃,儥}燋,（毛巾没拧干）|两条电线给伊～蜀堆（把两根电线拧在一起）。②扭伤▷手～去（手扭伤了）。
【碎】	cooy213	①碎，零碎。②（副）用于动词前，表示不定时地，也不用专门时间地做某事▷我有时也有～写仂囝（我有时也随便写点儿什么）|～画（不时地随便画画）～煮|～做（打零工）|～讲（东拉西扯）。
【冲】	cooyng213	勃发，大发作▷蜀曝日头，身𠲥痱会～起去（一晒太阳，身上的痱子就大发作）火～去（火气大发）。
【粗纸】	cu53 jai33	手纸，草纸。
【粗做】	cu53 joo213	干粗活。
【粗做侬】	cu21jo213neüng53	干粗活的人，泛指体力劳动者。
【粗癞癞】	cu21lai44lai44(lai53lai213)	形容很粗糙▷者米～，野伓好食（这米很粗糙，很难吃）|只块板～，{固,故}着推囇（这块木板很粗，还得再刨一刨）。
【粗事】	cu53 lai242	粗活儿。
【粗平直】	cu44wan44nik5	（质量）大致合格，过得去▷无钱，饭也着食饱，颂也着～（钱少饭也得吃饱，穿着也得看得过去）|工手伓是真好，{俪,㑚}是做𠲥～（手艺不是很好，只是大体过得去）|者诸娘囝主{固,故}～（这女孩子长得还可以）。
【出运】	cuk5 oung242	摆脱厄运，交好运▷今年冥会～（今年会交上好运气）。
【出式】	cuk5 seik24	出花样，出鬼点子▷野会～（很会出花祥）|都是伊～（都是他出的鬼点子）|伓通介～了。（别再出什么鬼主意了）。
【出宿】	cuk5 siu213	出笼，鸡鸭等出窝。用于指人含贬义▷只两日都无看见者侬～（这两天都没见到这个人露面）。
【出汁】	cuk5 zaik24	①物体因反潮而湿漉漉▷转润天楼下地兜就～（潮湿的天气里，楼下地面湿漉漉的）。②形容又潮又脏▷衣裳都颂～去，自家也{𫧃,儥}{八,仈}洗（衣服穿得这么脏，自己也不知道去洗一洗）。
【炊】	cui55	隔水蒸▷～饭|～包（蒸馒头）。
【炊床】	cui44loung52	蒸笼。
【炊床饭】	cui53 loung21 muong242	用蒸笼隔水蒸热的大米饭。
【吹拳】	cui55 ung53	喝酒时猜拳。
